"uuid";"id_evolution";"id_voie_provisoire";"cleabs";"numero";"indice_de_repetition";"complement_d_adressage";"commentaire_collecteur";"geometrie";"lien_vers_objet_support";"cle_abs_sga";"ordrefinevol";"cote";"identifiant_adresse_sga";"designation_de_l_entree";"wkt"
"3690674ec6ba619bb196e6a57fdc24b8";"f827fb395770233166cede89266241ea";"7e3a6b27c9cf67f53fdef8c993c35f31";"";"1";"";"";"";"0101000000F72E33B50E0C1941E4A46026698C5841";"";"";"";"";"";"";"POINT(410371.676953062 6435236.59964869)"
"5b1511ff2abd7d6e30bce0cbec71c658";"f827fb395770233166cede89266241ea";"7e3a6b27c9cf67f53fdef8c993c35f31";"";"2";"";"";"";"0101000000127E64A7F70B194143FDBD1F688C5841";"";"";"";"";"";"";"POINT(410365.913469286 6435232.49597103)"
"2ea574d322040a30552ee818ef2f19c7";"f827fb395770233166cede89266241ea";"7e3a6b27c9cf67f53fdef8c993c35f31";"";"3";"";"";"";"01010000004312DDFE980B1941B0874E69738C5841";"";"";"";"";"";"";"POINT(410342.248890195 6435277.64541809)"
"aa9c05adbef5261048d748201f9b4907";"f827fb395770233166cede89266241ea";"7e3a6b27c9cf67f53fdef8c993c35f31";"";"4";"";"";"";"010100000010E4273B0C0B19413BBB99A57C8C5841";"";"";"";"";"";"";"POINT(410307.057769359 6435314.58750802)"
"456d70446a5e3497efd74c30ce10e174";"f827fb395770233166cede89266241ea";"7e3a6b27c9cf67f53fdef8c993c35f31";"";"5";"";"";"";"0101000000AF2BEE48230B194140963AAC7D8C5841";"";"";"";"";"";"";"POINT(410312.821221049 6435318.69107586)"
"b1133e4c532433ffe4d729cdcb5393a1";"51ef2eebef868a4fc7ff3032cdc8bc9d";"6d1d3b5dcfcfb3f4e9a0126a9a6bdd4a";"";"1";"";"";"";"0101000000107A6FA6040C19419CAFBBAE678C5841";"";"";"";"";"";"";"POINT(410369.162534625 6435230.73020544)"
"6de9caf7da0e024fd9aa6c5862a3c496";"51ef2eebef868a4fc7ff3032cdc8bc9d";"6d1d3b5dcfcfb3f4e9a0126a9a6bdd4a";"";"2";"";"";"";"01010000004C8B37211C0C1941169199AB688C5841";"";"";"";"";"";"";"POINT(410375.032438447 6435234.68124797)"
"d2c069a4b014d6e56c360e44affd0d37";"51ef2eebef868a4fc7ff3032cdc8bc9d";"6d1d3b5dcfcfb3f4e9a0126a9a6bdd4a";"";"4";"";"";"";"01010000009CBEFD2B180B1941029C24A4808C5841";"";"";"";"";"";"";"POINT(410310.042960146 6435330.56473446)"
"8df39cfecac88c51f33b54b467031b7f";"51ef2eebef868a4fc7ff3032cdc8bc9d";"6d1d3b5dcfcfb3f4e9a0126a9a6bdd4a";"";"5";"";"";"";"0101000000AF0D41B1000B1941F4C148A77F8C5841";"";"";"";"";"";"";"POINT(410304.173099722 6435326.61381577)"
"402c39f5128f596b008dad5caf45ee92";"51ef2eebef868a4fc7ff3032cdc8bc9d";"6d1d3b5dcfcfb3f4e9a0126a9a6bdd4a";"";"3";"";"";"";"01010000000010AACBC00B194178FF1356768C5841";"";"";"";"";"";"";"POINT(410352.198890924 6435289.34497058)"
