uuid;id_evolution;id_voie_provisoire_gauche;id_voie_provisoire_droite;cleabs;geometrie;sens_de_circulation;type_d_adressage;prive;importance;nature;nombre_de_voies;acces;identifiant_fpb_voie_droite;identifiant_fpb_voie_gauche;commentaire_collecteur;ordrefinevol;wkt
45631674bdf1c84456d055b53b86ecd5;498cae2cb31b72fd74dc9a04d73af945;84242ff911504c748851e81a2f992cb8;84242ff911504c748851e81a2f992cb8;TRONROUT0000000002543606;0102000000050000009A999999F30D1941666666A6698C584166666666D40D1941CDCCCCCC6D8C584166666666BA0D1941000000C0728C584133333333B30D1941CDCCCC4C758C584166666666A40D19419A999959778C5841;;;;;;;;333220115;333220115;;;LINESTRING(410492.9 6435238.6,410485.1 6435255.2,410478.6 6435275,410476.8 6435285.2,410473.1 6435293.4)
8f8b8d4812ba50bc5ea188891d56898a;498cae2cb31b72fd74dc9a04d73af945;84242ff911504c748851e81a2f992cb8;84242ff911504c748851e81a2f992cb8;TRONROUT0000000002543588;01020000000C00000066666666A2101941666666C6568C58413333333335101941666666465B8C5841CDCCCCCCF00F1941CDCCCC4C5E8C584100000000AA0F194133333393608C584100000000600F1941CDCCCC4C628C584133333333150F19419A999919638C584166666666020F194133333353638C5841000000008C0E1941CDCCCC8C638C58419A999999510E1941CDCCCC4C648C5841666666662C0E194166666646658C5841CDCCCCCC100E1941000000C0668C58419A999999F30D1941666666A6698C5841;;;;;;;;333220115;333220115;;;LINESTRING(410664.6 6435163.1,410637.3 6435181.1,410620.2 6435193.2,410602.5 6435202.3,410584 6435209.2,410565.3 6435212.4,410560.6 6435213.3,410531 6435214.2,410516.4 6435217.2,410507.1 6435221.1,410500.2 6435227,410492.9 6435238.6)
dba0af64128f3c72927a8b51d5e0f341;498cae2cb31b72fd74dc9a04d73af945;3e74b8d493b5e8b30b955286d79dec69;3e74b8d493b5e8b30b955286d79dec69;TRONROUT0000000002543607;01020000000600000000000000641119419A999999488C58419A99999943111941666666464B8C58413333333333111941CDCCCC8C4C8C5841CDCCCCCCF0101941CDCCCCCC518C5841CDCCCCCCC410194100000000558C584166666666A2101941666666C6568C5841;;;;;;;;333220115;333220115;;;LINESTRING(410713 6435106.4,410704.9 6435117.1,410700.8 6435122.2,410684.2 6435143.2,410673.2 6435156,410664.6 6435163.1)
42d4e92bf0966ece03d5ab43170114eb;498cae2cb31b72fd74dc9a04d73af945;3e74b8d493b5e8b30b955286d79dec69;3e74b8d493b5e8b30b955286d79dec69;TRONROUT0000000002543608;01020000000300000000000000C2111941CDCCCCCC408C584166666666AE11194133333373428C584100000000641119419A999999488C5841;;;;;;;;333220115;333220115;;;LINESTRING(410736.5 6435075.2,410731.6 6435081.8,410713 6435106.4)
61639d063dca83eea5754197c8d40646;498cae2cb31b72fd74dc9a04d73af945;3e74b8d493b5e8b30b955286d79dec69;3e74b8d493b5e8b30b955286d79dec69;TRONROUT0000000002543613;0102000000020000000000000014121941333333D3398C584100000000C2111941CDCCCCCC408C5841;;;;;;;;333220115;333220115;;;LINESTRING(410757 6435047.3,410736.5 6435075.2)
aacdcddc547021f792eefc7e654bce8b;498cae2cb31b72fd74dc9a04d73af945;a2a65e79bfb554901156e6e6056d133f;a2a65e79bfb554901156e6e6056d133f;TRONROUT0000000002542695;01020000000500000066666666C61619419A9999990B8C5841000000006A161941666666060C8C58419A9999992D161941CDCCCC6C0C8C58410000000014161941CDCCCCEC0C8C58419A99999903161941CDCCCC6C0D8C5841;;;;;;;;333220115;333220115;;;LINESTRING(411057.6 6434862.4,411034.5 6434864.1,411019.4 6434865.7,411013 6434867.7,411008.9 6434869.7)
d337eb96b525eeecdd2a68363309213f;498cae2cb31b72fd74dc9a04d73af945;a2a65e79bfb554901156e6e6056d133f;a2a65e79bfb554901156e6e6056d133f;TRONROUT0000000002542692;010200000005000000CDCCCCCCEE151941333333130E8C5841CDCCCCCCDC151941666666260F8C58419A999999BF151941333333D3108C5841333333338F151941CDCCCC8C138C5841666666666E15194100000040158C5841;;;;;;;;333220115;333220115;;;LINESTRING(411003.7 6434872.3,410999.2 6434876.6,410991.9 6434883.3,410979.8 6434894.2,410971.6 6434901)
01e727d7fd5363e969c05c6ac6298e93;498cae2cb31b72fd74dc9a04d73af945;a2a65e79bfb554901156e6e6056d133f;a2a65e79bfb554901156e6e6056d133f;TRONROUT0000000002542680;010200000008000000666666666E15194100000040158C5841333333333F15194166666666178C5841333333330F1519419A9999B9188C584166666666C6141941000000201A8C58419A99999973141941333333B31B8C5841333333332F1419419A9999191D8C5841CDCCCCCCC813194133333333208C584100000000A813194100000040218C5841;;;;;;;;333220115;333220115;;;LINESTRING(410971.6 6434901,410959.8 6434909.6,410947.8 6434914.9,410929.6 6434920.5,410908.9 6434926.8,410891.8 6434932.4,410866.2 6434944.8,410858 6434949)
6d77acc32d49468b8bb931497385cd18;498cae2cb31b72fd74dc9a04d73af945;a2a65e79bfb554901156e6e6056d133f;a2a65e79bfb554901156e6e6056d133f;TRONROUT0000000002542678;01020000000500000000000000A813194100000040218C5841000000008413194166666666228C58419A99999941131941CDCCCCEC248C58419A99999907131941000000A0278C5841CDCCCCCCD8121941CDCCCCAC2A8C5841;;;;;;;;333220115;333220115;;;LINESTRING(410858 6434949,410849 6434953.6,410832.4 6434963.7,410817.9 6434974.5,410806.2 6434986.7)
63dbd0ba51cad6e555b6f855d43760f1;498cae2cb31b72fd74dc9a04d73af945;a2a65e79bfb554901156e6e6056d133f;a2a65e79bfb554901156e6e6056d133f;TRONROUT0000000002544219;010200000003000000CDCCCCCCD8121941CDCCCCAC2A8C5841000000008212194166666626318C58410000000014121941333333D3398C5841;;;;;;;;333220115;333220115;;;LINESTRING(410806.2 6434986.7,410784.5 6435012.6,410757 6435047.3)
